국가,확진자,치료중,사망자,완치,사망률,완치율,발생률,인구수
가나🇬🇭,"46,004",554,297,"45,153",0.6,98.2,"1,481","31,072,940"
가봉🇬🇦,"8,696",795,53,"7,848",0.6,90.2,"3,907","2,225,734"
가이아나🇬🇾,"2,168",773,64,"1,331",3,61.4,"2,756","786,552"
감비아🇬🇲,"3,504","1,404",108,"1,992",3.1,56.8,"1,450","2,416,668"
과들루프🇬🇵,"3,426","2,563",26,837,0.8,24.4,"8,562","400,124"
과테말라🇬🇹,"85,152","7,550","3,105","74,497",3.6,87.5,"4,753","17,915,568"
그레나다🇬🇩,24,0,0,24,,100,213,"112,523"
그리스🇬🇷,"14,978","4,658",331,"9,989",2.2,66.7,"1,437","10,423,054"
그린란드🇬🇱,14,0,0,14,,100,247,"56,770"
기니비사우🇬🇼,"2,303","1,137",39,"1,127",1.7,48.9,"1,170","1,968,001"
기니🇬🇳,"10,286",542,63,"9,681",0.6,94.1,783,"13,132,795"
나미비아🇳🇦,"10,292","2,212",111,"7,969",1.1,77.4,"4,051","2,540,905"
나이지리아🇳🇬,"57,145","7,619","1,095","48,431",1.9,84.8,277,"206,139,589"
남수단🇸🇸,"2,642","1,303",49,"1,290",1.9,48.8,236,"11,193,725"
남아프리카 공화국🇿🇦,"659,656","54,282","15,940","589,434",2.4,89.4,"11,122","59,308,690"
네덜란드🇳🇱,"91,934",,"6,275",,6.8,,"5,365","17,134,872"
네팔🇳🇵,"62,797","17,129",401,"45,267",0.6,72.1,"2,155","29,136,808"
노르웨이🇳🇴,"12,858","2,220",267,"10,371",2.1,80.7,"2,372","5,421,241"
뉴질랜드🇳🇿,"1,815",71,25,"1,719",1.4,94.7,376,"4,822,233"
뉴칼레도니아🇳🇨,26,0,0,26,,100,91,"285,498"
니제르🇳🇪,"1,183",10,69,"1,104",5.8,93.3,49,"24,206,644"
니카라과🇳🇮,"4,961","1,901",147,"2,913",3,58.7,749,"6,624,554"
대만🇹🇼,507,21,7,479,1.4,94.5,21,"23,816,775"
대한민국🇰🇷,"22,975","2,434",383,"20,158",1.7,87.7,448,"51,269,185"
덴마크🇩🇰,"22,436","4,485",635,"17,316",2.8,77.2,"3,873","5,792,202"
도미니카 공화국🇩🇴,"107,700","24,836","2,044","80,820",1.9,75,"9,928","10,847,910"
도미니카 연방🇩🇲,24,6,0,18,,75,333,"71,986"
독일🇩🇪,"272,311","19,345","9,466","243,500",3.5,89.4,"3,250","83,783,942"
동티모르🇹🇱,27,1,0,26,,96.3,20,"1,318,445"
라오스🇱🇦,23,1,0,22,,95.7,3,"7,275,560"
라이베리아🇱🇷,"1,335",37,82,"1,216",6.1,91.1,264,"5,057,681"
라트비아🇱🇻,"1,525",241,36,"1,248",2.4,81.8,809,"1,886,198"
러시아🇷🇺,"1,103,399","174,624","19,418","909,357",1.8,82.4,"7,561","145,934,462"
레바논🇱🇧,"28,297","16,571",286,"11,440",1,40.4,"4,146","6,825,445"
레소토🇱🇸,"1,390",603,33,754,2.4,54.2,649,"2,142,249"
레위니옹🇷🇪,"3,194",697,15,"2,482",0.5,77.7,"3,567","895,312"
루마니아🇷🇴,"112,781","18,575","4,435","89,771",3.9,79.6,"5,863","19,237,691"
룩셈부르크🇱🇺,"7,928",664,124,"7,140",1.6,90.1,"12,665","625,978"
르완다🇷🇼,"4,689","1,753",26,"2,910",0.6,62.1,362,"12,952,218"
리비아🇱🇾,"27,234","12,119",436,"14,679",1.6,53.9,"3,963","6,871,292"
리투아니아🇱🇹,"3,744","1,459",87,"2,198",2.3,58.7,"1,375","2,722,289"
리히텐슈타인🇱🇮,113,2,2,109,1.8,96.5,"2,964","38,128"
마다가스카르🇲🇬,"16,053","1,184",223,"14,646",1.4,91.2,580,"27,691,018"
마르티니크🇲🇶,"1,122","1,006",18,98,1.6,8.7,"2,990","375,265"
마요트🇾🇹,"3,541",537,40,"2,964",1.1,83.7,"12,979","272,815"
마카오🇲🇴,46,0,0,46,,100,71,"649,335"
말라위🇲🇼,"5,718","1,509",179,"4,030",3.1,70.5,299,"19,129,952"
말레이시아🇲🇾,"10,219",734,130,"9,355",1.3,91.5,316,"32,365,999"
말리🇲🇱,"3,006",529,128,"2,349",4.3,78.1,148,"20,250,833"
맨섬🇮🇲,339,3,24,312,7.1,92,"3,987","85,033"
멕시코🇲🇽,"694,121","124,639","73,258","496,224",10.6,71.5,"5,384","128,932,753"
모나코🇲🇨,192,36,4,152,2.1,79.2,"4,893","39,242"
모로코🇲🇦,"99,816","19,013","1,795","79,008",1.8,79.2,"2,704","36,910,560"
모리셔스🇲🇺,366,18,10,338,2.7,92.3,288,"1,271,768"
모리타니🇲🇷,"7,365",277,161,"6,927",2.2,94.1,"1,584","4,649,658"
모잠비크🇲🇿,"6,537","2,876",41,"3,620",0.6,55.4,209,"31,255,435"
몬테네그로🇲🇪,"7,898","2,635",134,"5,129",1.7,64.9,"12,575","628,066"
몬트세랫🇲🇸,13,0,1,12,7.7,92.3,"2,604","4,992"
몰도바🇲🇩,"46,336","10,899","1,201","34,236",2.6,73.9,"11,486","4,033,963"
몰디브🇲🇻,"9,649","1,428",33,"8,188",0.3,84.9,"17,851","540,544"
몰타 공화국🇲🇹,"2,731",664,20,"2,047",0.7,75,"6,185","441,543"
몽골🇲🇳,312,10,0,302,,96.8,95,"3,278,290"
미국🇺🇸,"6,968,918","2,541,156","203,844","4,223,918",2.9,60.6,"21,054","331,002,651"
미얀마🇲🇲,"5,263","3,994",81,"1,188",1.5,22.6,97,"54,409,800"
바레인🇧🇭,"64,499","6,979",221,"57,299",0.3,88.8,"37,905","1,701,575"
바베이도스🇧🇧,185,6,7,172,3.8,93,644,"287,375"
바티칸 시국🇻🇦,12,0,0,12,,100,"14,981",801
바하마🇧🇸,"3,214","1,462",73,"1,679",2.3,52.2,"8,173","393,244"
방글라데시🇧🇩,"348,918","87,414","4,939","256,565",1.4,73.5,"2,119","164,689,383"
버뮤다🇧🇲,180,5,9,166,5,92.2,"2,890","62,278"
베냉🇧🇯,"2,280",290,40,"1,950",1.8,85.5,188,"12,123,200"
베네수엘라🇻🇪,"65,949","10,255",539,"55,155",0.8,83.6,"2,319","28,435,940"
베트남🇻🇳,"1,068",91,35,942,3.3,88.2,11,"97,338,579"
벨기에🇧🇪,"100,748","71,807","9,996","18,945",9.9,18.8,"8,693","11,589,623"
벨라루스🇧🇾,"75,461","1,473",776,"73,212",1,97,"7,986","9,449,323"
벨리즈🇧🇿,"1,606",710,20,876,1.2,54.5,"4,039","397,628"
보스니아 헤르체고비나🇧🇦,"25,428","6,787",763,"17,878",3,70.3,"7,751","3,280,819"
보츠와나🇧🇼,"2,567","1,930",13,624,0.5,24.3,"1,092","2,351,627"
볼리비아🇧🇴,"130,470","33,852","7,586","89,032",5.8,68.2,"11,177","11,673,021"
부룬디🇧🇮,473,98,1,374,0.2,79.1,40,"11,890,784"
부르키나파소🇧🇫,"1,816",584,56,"1,176",3.1,64.8,87,"20,903,273"
부탄🇧🇹,259,69,0,190,,73.4,336,"771,608"
북마케도니아🇲🇰,"16,557","2,076",689,"13,792",4.2,83.3,"7,947","2,083,374"
불가리아🇧🇬,"18,819","4,506",755,"13,558",4,72,"2,708","6,948,445"
