회차,번호1,번호2,번호3,번호4,번호5,번호6,보너스,1등당첨총금액,1등당첨금액,1등당첨자수,2등당첨총금액,2등당첨금액,2등당첨자수,3등당첨총금액,3등당첨금액,3등당첨자수,4등당첨총금액,4등당첨금액,4등당첨자수,5등당첨총금액,5등당첨금액,5등당첨자수
1,10,23,29,33,37,40,16,0,0,0,143934100,143934100,1,143934000,5140500,28,287695800,113400,2537,401550000,10000,40155
2,9,13,21,25,32,42,2,2002006800,2002006800,1,189733600,94866800,2,189726000,1842000,103,379310400,100800,3763,554800000,10000,55480
3,11,16,19,21,27,31,30,2000000000,2000000000,1,0,0,0,163199900,1174100,139,326106000,54900,5940,732560000,10000,73256
4,14,27,30,31,40,42,2,0,0,0,211191200,211191200,1,211189600,7282400,29,422381700,152100,2777,523820000,10000,52382
5,16,24,29,40,41,42,3,0,0,0,0,0,0,253419600,6033800,42,506659500,166500,3043,604340000,10000,60434
6,14,15,26,27,40,42,34,6574451700,6574451700,1,588892800,196297600,3,588887400,4267300,138,1177782000,87600,13445,1763750000,10000,176375
7,2,9,16,25,26,40,42,0,0,0,433485000,48165000,9,433485000,1605500,270,866499500,65500,13229,2062590000,10000,206259
8,8,19,25,34,37,39,9,0,0,0,789330000,131555000,6,789298800,2268100,348,1577829500,110500,14279,2482420000,10000,248242
9,2,4,16,17,36,39,14,0,0,0,3077826000,769456500,4,3077817600,8743800,352,6154720000,260000,23672,6033750000,10000,603375
10,9,25,30,33,41,44,6,83595692700,6430437900,13,9631962400,40813400,236,9631930800,856400,11247,19198288200,27300,703234,34108460000,10000,3410846
11,1,7,36,37,41,42,14,23900761500,4780152300,5,3983459700,362132700,11,3983438800,9307100,428,7964902000,206800,38515,6128050000,10000,612805
12,2,11,21,25,39,45,44,16186148400,1348845700,12,2697688800,99914400,27,2697502500,1417500,1903,5394519000,70200,76845,11150840000,10000,1115084
13,22,23,25,37,38,42,26,0,0,0,2599855800,433309300,6,2599830000,5777400,450,5197935600,175600,29601,7267510000,10000,726751
